日付,都市名,天気,気温(℃),湿度(%),風速(m/s),体感温度(℃),最低気温(℃),最高気温(℃)
2025/05/26,東京都,曇りがち,21.25,37,5.14,20.4,19.95,22.02
2025/05/26,大阪市,曇りがち,16.94,63,2.57,16.33,15.75,16.96
2025/05/26,名古屋市,厚い雲,21.09,51,3.03,20.59,21.09,21.09
2025/05/26,札幌市,雲,12.86,82,10.29,12.34,12.86,12.86
2025/05/26,京都市,厚い雲,18.37,59,1.9,17.8,18.37,20.37
2025/05/26,福岡市,晴天,18.95,59,1.54,18.44,18.95,19.48
2025/05/26,横浜市,曇りがち,20.59,49,3.6,19.98,19.98,22.27
2025/05/26,仙台,小雨,16.71,55,6.17,15.87,16.71,17.66
2025/05/26,千葉市,小雨,20.59,65,1.8,20.4,19.18,20.62
2025/05/26,前橋市,厚い雲,20.6,33,2.95,19.58,20.6,20.6
2025/05/26,静岡市,強い雨,21.61,67,1.91,21.58,21.49,21.61
2025/05/26,那覇市,厚い雲,19.95,88,4.12,20.3,19.95,20.16
